day,date,title,leg,from,to,drive_time,notes
1,,Christchurch to Wanaka,Central Otago,Christchurch,Wanaka,4h30,"Inland via Lake Tekapo and Lake Pukaki, over the Lindis Pass. Coffee and photo stop at Pukaki."
2,,Lake Dunstan Trail then Queenstown,Central Otago,Wanaka,Queenstown,1h45,"Cromwell to Clyde, 42km hugging the lake on boardwalks clipped to the cliff face. Shuttle back to the car at Cromwell, then 45min on to Queenstown."
3,,Queenstown wine and family,Queenstown & Fiordland,Queenstown,Queenstown,,"Gibbston Valley and Bannockburn cellar doors. Dinner with Luke's sister."
4,,Queenstown free day,Queenstown & Fiordland,Queenstown,Queenstown,,"Skyline gondola, TSS Earnslaw across the lake, or the adventure-sport menu for whoever wants it."
5,,Queenstown to Te Anau,Queenstown & Fiordland,Queenstown,Te Anau,2h00,"Short driving day. Lakefront evening, early night before the cruise."
6,,Doubtful Sound day cruise,Queenstown & Fiordland,Te Anau,Te Anau,,"From Manapouri, 20min away: boat across Lake Manapouri, bus over Wilmot Pass, then the cruise. Book ahead."
7,,Te Anau to Franz Josef,West Coast,Te Anau,Franz Josef,6h30,"Big one, but the best driving in the country. Lunch in Wanaka at the halfway mark, then Blue Pools and Thunder Creek Falls over Haast Pass."
8,,Franz Josef to Nelson,West Coast,Franz Josef,Nelson,6h30,"3hrs up the coast through Hokitika, long lunch and walks at Punakaiki, 3hrs more through Westport and the Buller. Check the tide chart the night before."
9,,Great Taste Trail e-bike,Top of the South,Nelson,Nelson,,"Nelson to Mapua, 35km, grade 1 and almost entirely off-road via Rabbit Island. Finish with the Mapua ferry and lunch on the wharf."
10,,Nelson to Marlborough via Kaiteriteri,Top of the South,Nelson,Renwick,3h45,"An hour over the hill to Kaiteriteri for lunch on the golden sand, then across to wine country."
11,,Marlborough to Christchurch,Home the East Coast,Renwick,Christchurch,4h30,"A cellar door or two on the way out, then down the coast: crayfish at Nin's Bin, seals at Point Kean, and the last run home."
