day,name,type,link,notes,place
1,Lake Pukaki lookout,drive,,Coffee and photo stop,Lake Pukaki
2,"E-bikes and shuttle, Cromwell",activity,https://www.lakedunstantrail.co.nz/,Pick up the e-bikes; the shuttle brings you back here from Clyde,Cromwell
2,Lake Dunstan Trail,bike,,"42km hugging the lake on boardwalks clipped to the cliff face, Cromwell to Clyde",Clyde
6,"Check in at Pearl Harbour, Manapouri",booked,https://www.realnz.com/en/experiences/cruises/doubtful-sound-wilderness-cruises/,20min from Te Anau. Boat leaves from the wharf,Manapouri
6,Doubtful Sound cruise,boat,,"Across Lake Manapouri, bus over Wilmot Pass, then three hours on the sound",Doubtful Sound
7,Blue Pools,walk,,Short walk off the highway,Haast Pass
7,Thunder Creek Falls,walk,,5min from the car park,Haast Pass
8,Truman Track,walk,,30min through nikau forest to a beach,Punakaiki
8,Pancake Rocks,walk,tides,Paved loop; best at high tide,Punakaiki
8,Wakefield Bakery,food,,30min short of Nelson. Worth holding out for.,Wakefield
9,Great Taste Trail,bike,https://www.heartofbiking.org.nz/,,Mapua
10,Kaiteriteri beach,beach,,"Lunch on the golden sand, an hour over the hill from Nelson",Kaiteriteri
11,Nin's Bin,food,,Crayfish on the Kaikoura coast,Kaikoura
11,Point Kean,activity,,Seal colony,Kaikoura
